job_id,template,distance_angstrom,multiplicity,status,energy_hartree,error_hint,output_path
job-0011,ring,1.9,3,finished,-148.743338856923,,jobs/job-0011/output.out
job-0014,ring,2.05,3,finished,-148.737786657517,,jobs/job-0014/output.out
job-0017,ring,2.2,3,finished,-148.73778665709,,jobs/job-0017/output.out
job-0019,trigonal_prism,1.45,1,finished,-148.737106377803,,jobs/job-0019/output.out
job-0073,distorted_prism_1,1.45,1,finished,-148.737094288566,,jobs/job-0073/output.out
job-0064,pentagonal_pyramid,1.9,1,finished,-148.737091827503,,jobs/job-0064/output.out
job-0055,pentagonal_pyramid,1.45,1,finished,-148.737091827467,,jobs/job-0055/output.out
job-0067,pentagonal_pyramid,2.05,1,finished,-148.737091826342,,jobs/job-0067/output.out
job-0058,pentagonal_pyramid,1.6,1,finished,-148.737091826163,,jobs/job-0058/output.out
job-0061,pentagonal_pyramid,1.75,1,finished,-148.737091823269,,jobs/job-0061/output.out
job-0070,pentagonal_pyramid,2.2,1,finished,-148.737091315804,,jobs/job-0070/output.out
job-0085,distorted_prism_1,2.05,1,finished,-148.737087709703,,jobs/job-0085/output.out
job-0082,distorted_prism_1,1.9,1,finished,-148.737086071115,,jobs/job-0082/output.out
job-0076,distorted_prism_1,1.6,1,finished,-148.737084761475,,jobs/job-0076/output.out
job-0079,distorted_prism_1,1.75,1,finished,-148.717726118831,,jobs/job-0079/output.out
job-0088,distorted_prism_1,2.2,1,finished,-148.717722585884,,jobs/job-0088/output.out
job-0016,ring,2.2,1,finished,-148.717721247395,,jobs/job-0016/output.out
job-0013,ring,2.05,1,finished,-148.714995777273,,jobs/job-0013/output.out
job-0010,ring,1.9,1,finished,-148.710642542737,,jobs/job-0010/output.out
job-0062,pentagonal_pyramid,1.75,3,finished,-148.709717011696,,jobs/job-0062/output.out
job-0020,trigonal_prism,1.45,3,finished,-148.709716304586,,jobs/job-0020/output.out
job-0071,pentagonal_pyramid,2.2,3,finished,-148.709713804537,,jobs/job-0071/output.out
job-0086,distorted_prism_1,2.05,3,finished,-148.700578372703,,jobs/job-0086/output.out
job-0056,pentagonal_pyramid,1.45,3,finished,-148.700577961447,,jobs/job-0056/output.out
job-0068,pentagonal_pyramid,2.05,3,finished,-148.700577650691,,jobs/job-0068/output.out
job-0065,pentagonal_pyramid,1.9,3,finished,-148.700577626557,,jobs/job-0065/output.out
job-0083,distorted_prism_1,1.9,3,finished,-148.700571779338,,jobs/job-0083/output.out
job-0089,distorted_prism_1,2.2,3,finished,-148.70056906616,,jobs/job-0089/output.out
job-0080,distorted_prism_1,1.75,3,finished,-148.700567953349,,jobs/job-0080/output.out
job-0074,distorted_prism_1,1.45,3,finished,-148.700565515679,,jobs/job-0074/output.out
job-0077,distorted_prism_1,1.6,3,finished,-148.700559072684,,jobs/job-0077/output.out
job-0047,octahedral_like,1.9,3,finished,-148.696303343708,,jobs/job-0047/output.out
job-0038,octahedral_like,1.45,3,finished,-148.696303343138,,jobs/job-0038/output.out
job-0044,octahedral_like,1.75,3,finished,-148.696303342688,,jobs/job-0044/output.out
job-0041,octahedral_like,1.6,3,finished,-148.696303342471,,jobs/job-0041/output.out
job-0050,octahedral_like,2.05,3,finished,-148.69630334244,,jobs/job-0050/output.out
job-0092,distorted_octa_1,1.45,3,finished,-148.696286498766,,jobs/job-0092/output.out
job-0098,distorted_octa_1,1.75,3,finished,-148.69625775583,,jobs/job-0098/output.out
job-0107,distorted_octa_1,2.2,3,finished,-148.696247349123,,jobs/job-0107/output.out
job-0104,distorted_octa_1,2.05,3,finished,-148.69623479384,,jobs/job-0104/output.out
job-0095,distorted_octa_1,1.6,3,finished,-148.696216357097,,jobs/job-0095/output.out
job-0101,distorted_octa_1,1.9,3,finished,-148.696200099157,,jobs/job-0101/output.out
job-0059,pentagonal_pyramid,1.6,3,finished,-148.678500961184,,jobs/job-0059/output.out
job-0004,ring,1.6,1,finished,-148.677865044246,,jobs/job-0004/output.out
job-0007,ring,1.75,1,finished,-148.677865034973,,jobs/job-0007/output.out
job-0001,ring,1.45,1,finished,-148.677865034573,,jobs/job-0001/output.out
job-0069,pentagonal_pyramid,2.05,5,finished,-148.669785790046,,jobs/job-0069/output.out
job-0057,pentagonal_pyramid,1.45,5,finished,-148.669784721437,,jobs/job-0057/output.out
job-0060,pentagonal_pyramid,1.6,5,finished,-148.669780730487,,jobs/job-0060/output.out
job-0063,pentagonal_pyramid,1.75,5,finished,-148.669780010414,,jobs/job-0063/output.out
job-0072,pentagonal_pyramid,2.2,5,finished,-148.66977984681,,jobs/job-0072/output.out
job-0090,distorted_prism_1,2.2,5,finished,-148.669776531806,,jobs/job-0090/output.out
job-0021,trigonal_prism,1.45,5,finished,-148.669775824352,,jobs/job-0021/output.out
job-0084,distorted_prism_1,1.9,5,finished,-148.669775493735,,jobs/job-0084/output.out
job-0078,distorted_prism_1,1.6,5,finished,-148.669775406064,,jobs/job-0078/output.out
job-0075,distorted_prism_1,1.45,5,finished,-148.669774615606,,jobs/job-0075/output.out
job-0081,distorted_prism_1,1.75,5,finished,-148.669772519589,,jobs/job-0081/output.out
job-0008,ring,1.75,3,finished,-148.666121375395,,jobs/job-0008/output.out
job-0005,ring,1.6,3,finished,-148.666121368367,,jobs/job-0005/output.out
job-0002,ring,1.45,3,finished,-148.666121139768,,jobs/job-0002/output.out
job-0066,pentagonal_pyramid,1.9,5,finished,-148.660123711525,,jobs/job-0066/output.out
job-0094,distorted_octa_1,1.6,1,finished,-148.659854083494,,jobs/job-0094/output.out
job-0103,distorted_octa_1,2.05,1,finished,-148.659853248163,,jobs/job-0103/output.out
job-0097,distorted_octa_1,1.75,1,finished,-148.6598532189,,jobs/job-0097/output.out
job-0091,distorted_octa_1,1.45,1,finished,-148.65985104642,,jobs/job-0091/output.out
job-0100,distorted_octa_1,1.9,1,finished,-148.659849833405,,jobs/job-0100/output.out
job-0037,octahedral_like,1.45,1,finished,-148.659849092863,,jobs/job-0037/output.out
job-0043,octahedral_like,1.75,1,finished,-148.659849073655,,jobs/job-0043/output.out
job-0040,octahedral_like,1.6,1,finished,-148.659849073086,,jobs/job-0040/output.out
job-0049,octahedral_like,2.05,1,finished,-148.659849069149,,jobs/job-0049/output.out
job-0046,octahedral_like,1.9,1,finished,-148.659849047636,,jobs/job-0046/output.out
job-0087,distorted_prism_1,2.05,5,finished,-148.658741548319,,jobs/job-0087/output.out
job-0012,ring,1.9,5,finished,-148.649566441457,,jobs/job-0012/output.out
job-0018,ring,2.2,5,finished,-148.649566441141,,jobs/job-0018/output.out
job-0009,ring,1.75,5,finished,-148.649566439337,,jobs/job-0009/output.out
job-0003,ring,1.45,5,finished,-148.649566431305,,jobs/job-0003/output.out
job-0015,ring,2.05,5,finished,-148.649566422276,,jobs/job-0015/output.out
job-0099,distorted_octa_1,1.75,5,finished,-148.645481454918,,jobs/job-0099/output.out
job-0093,distorted_octa_1,1.45,5,finished,-148.645474467173,,jobs/job-0093/output.out
job-0045,octahedral_like,1.75,5,finished,-148.645472660748,,jobs/job-0045/output.out
job-0054,octahedral_like,2.2,5,finished,-148.645471669597,,jobs/job-0054/output.out
job-0051,octahedral_like,2.05,5,finished,-148.645469187993,,jobs/job-0051/output.out
job-0042,octahedral_like,1.6,5,finished,-148.645468447074,,jobs/job-0042/output.out
job-0105,distorted_octa_1,2.05,5,finished,-148.645464303014,,jobs/job-0105/output.out
job-0108,distorted_octa_1,2.2,5,finished,-148.645445108087,,jobs/job-0108/output.out
job-0102,distorted_octa_1,1.9,5,finished,-148.645442196015,,jobs/job-0102/output.out
job-0096,distorted_octa_1,1.6,5,finished,-148.645440743377,,jobs/job-0096/output.out
job-0106,distorted_octa_1,2.2,1,finished,-148.633289979713,,jobs/job-0106/output.out
job-0039,octahedral_like,1.45,5,finished,-148.631200732109,,jobs/job-0039/output.out
job-0048,octahedral_like,1.9,5,finished,-148.631197654667,,jobs/job-0048/output.out
job-0006,ring,1.6,5,finished,-148.619507828813,,jobs/job-0006/output.out
job-0026,trigonal_prism,1.75,3,finished,-148.619405225838,,jobs/job-0026/output.out
job-0023,trigonal_prism,1.6,3,finished,-148.619398625056,,jobs/job-0023/output.out
job-0032,trigonal_prism,2.05,3,finished,-148.619398618523,,jobs/job-0032/output.out
job-0022,trigonal_prism,1.6,1,finished,-148.613129268964,,jobs/job-0022/output.out
job-0025,trigonal_prism,1.75,1,finished,-148.613129250423,,jobs/job-0025/output.out
job-0029,trigonal_prism,1.9,3,finished,-148.605297527938,,jobs/job-0029/output.out
job-0035,trigonal_prism,2.2,3,finished,-148.605297523824,,jobs/job-0035/output.out
job-0028,trigonal_prism,1.9,1,finished,-148.59415667656,,jobs/job-0028/output.out
job-0034,trigonal_prism,2.2,1,finished,-148.594156670565,,jobs/job-0034/output.out
job-0031,trigonal_prism,2.05,1,finished,-148.594156666021,,jobs/job-0031/output.out
job-0027,trigonal_prism,1.75,5,finished,-148.572321803927,,jobs/job-0027/output.out
job-0024,trigonal_prism,1.6,5,finished,-148.57232180226,,jobs/job-0024/output.out
job-0033,trigonal_prism,2.05,5,finished,-148.560739119518,,jobs/job-0033/output.out
job-0030,trigonal_prism,1.9,5,finished,-148.560739119429,,jobs/job-0030/output.out
job-0036,trigonal_prism,2.2,5,finished,-148.560619482883,,jobs/job-0036/output.out
job-0052,octahedral_like,2.2,1,finished,-148.47993861658,,jobs/job-0052/output.out
job-0053,octahedral_like,2.2,3,failed,,,jobs/job-0053/output.out
