job_id,source_stage1_job_id,template,distance_angstrom,multiplicity,status,energy_hartree,min_frequency_cm-1,hard_imag_count,small_negative_count,accepted_minimum,output_path
validate-001-job-0011,job-0011,ring,1.9,3,finished,-148.743338857395,0.0,0,0,yes,jobs/validate-001-job-0011/output.out
validate-004-job-0019,job-0019,trigonal_prism,1.45,1,finished,-148.737106377705,0.0,0,0,yes,jobs/validate-004-job-0019/output.out
validate-005-job-0073,job-0073,distorted_prism_1,1.45,1,finished,-148.737094291299,0.0,0,0,yes,jobs/validate-005-job-0073/output.out
validate-010-job-0061,job-0061,pentagonal_pyramid,1.75,1,finished,-148.737091825588,0.0,0,0,yes,jobs/validate-010-job-0061/output.out
validate-007-job-0055,job-0055,pentagonal_pyramid,1.45,1,finished,-148.737091824857,0.0,0,0,yes,jobs/validate-007-job-0055/output.out
validate-006-job-0064,job-0064,pentagonal_pyramid,1.9,1,finished,-148.737091824339,0.0,0,0,yes,jobs/validate-006-job-0064/output.out
validate-009-job-0058,job-0058,pentagonal_pyramid,1.6,1,finished,-148.73709182406,0.0,0,0,yes,jobs/validate-009-job-0058/output.out
validate-008-job-0067,job-0067,pentagonal_pyramid,2.05,1,finished,-148.737091823436,0.0,0,0,yes,jobs/validate-008-job-0067/output.out
validate-003-job-0017,job-0017,ring,2.2,3,finished,-148.737786658046,-232.24,2,0,no,jobs/validate-003-job-0017/output.out
validate-002-job-0014,job-0014,ring,2.05,3,finished,-148.737786657125,-231.71,2,0,no,jobs/validate-002-job-0014/output.out
